Sales Order Shipment Details,销售订单出货明细
"The project number obtained from Google Cloud Console under <a href=""https://console.cloud.google.com/iam-admin/settings"">
""IAM &amp; Admin"" &gt; ""Settings""
</a>","从 Google Cloud Console 的 <a href=""https://console.cloud.google.com/iam-admin/settings"">
""IAM &amp; Admin"" &gt; ""Settings""（IAM 和管理 &gt; 设置）</a> 获取的项目编号"
"New line separated list of allowed public client URLs (eg <code>https://frappe.io</code>), or <code>*</code> to accept all.
<br>
Public clients are restricted by default.","允许的公共客户端 URL 列表，每行一个（例如 <code>https://frappe.io</code>），或使用 <code>*</code> 接受全部。
<br>
公共客户端默认受限。"
"Brand is what appears on the top-left of the toolbar. If it is an image, make sure it
has a transparent background and use the &lt;img /&gt; tag. Keep size as 200px x 30px",品牌显示在工具栏左上角。如果使用图片，请确保背景透明，并使用 &lt;img /&gt; 标签。尺寸保持为 200px x 30px
Registers,台账
Customer Ledger,客户台账
Supplier Ledger,供应商台账
AR Summary,应收账款汇总
AP Summary,应付账款汇总
Consolidated Report,合并财务报表
Custom Financial Statement,自定义财务报表
Financial Report Template,财务报表模板
Bank Reconciliation,银行对账工具
Reconciliation Statement,银行对账单
Budget Variance,预算差异报表
Inward Order,来料加工订单
Outward Order,委外加工订单
Item-wise sales Register,物料销售台账
New {0},新建{0}
The current form has unsaved changes that may be lost. Do you want to continue?,当前表单有未保存的修改，离开后可能丢失。是否继续？
View All Tabs,查看所有标签页
Close,关闭
Close Others,关闭其他标签页
Close Tabs to the Right,关闭右侧标签页
Close All Unpinned,关闭全部未固定标签页
Pin Tab,固定标签页
Unpin Tab,取消固定标签页
Copy Link,复制链接
Link copied,链接已复制
Failed to copy link,复制链接失败
Dr,借方
Source of Funds (Liabilities),负债
Total Outgoing Bills,销售发票总额
Total Incoming Bills,采购发票总额
Total Incoming Payment,收款总额
Total Outgoing Payment,付款总额
Incoming Bills (Purchase Invoice),采购发票
Outgoing Bills (Sales Invoice),销售发票
Accounts Receivable Ageing,应收账款账龄
Accounts Payable Ageing,应付账款账龄
Issue a debit note against an existing Sales Invoice to adjust the rate. The quantity will be retained from the original invoice.,针对现有销售发票开具借项通知单以调整价格。数量将沿用原发票上的数量。
Is customer exempted from sales tax?,客户是否免征销售税？
Default Supplier Quotation Warehouse,供应商报价默认仓库
Payment Entry,收付款单
Account Name,银行账户名称
Bank Account,银行账户
Bank Accounts,银行账户
Is Default Account,默认账户
Is Company Account,本公司银行账户
Is Credit Card,信用卡账户
Account Details,银行账户信息
IBAN,国际银行账号（IBAN）
Branch Code,银行支行代码
Bank Account No,银行账号
Statement PDF Password,银行对账单PDF密码
Account Type,银行账户类型
Bank Account Type,银行账户类型
Bank Account Subtype,银行账户子类型
Accounts Setup,财务设置
Match Against Voucher,匹配已有凭证
Create Voucher,新建凭证
Update Bank Transaction,更新银行流水
Create Purchase Invoice,创建采购发票
正在获取 BOM 反查数据...,正在获取 BOM 反查数据...
正在获取阶梯价格数据...,正在获取阶梯价格数据...
该物料未被任何已提交的 BOM 使用,该物料未被任何已提交的 BOM 使用
该物料没有按物料编码关联的 Pricing Rule,该物料没有按物料编码关联的 Pricing Rule
您没有 BOM 查看权限，无法显示反查数据,您没有 BOM 查看权限，无法显示反查数据
您没有 Pricing Rule 查看权限，无法显示阶梯价格,您没有 Pricing Rule 查看权限，无法显示阶梯价格
未找到物料 {0},未找到物料 {0}
缺少 Item 读取权限,缺少 Item 读取权限
BOM 编号,BOM 编号
成品物料,成品物料
成品名称,成品名称
组件用量,组件用量
BOM 数量,BOM 数量
规则名称,规则名称
数量区间,数量区间
价格/折扣,价格/折扣
买/卖,买/卖
停用,停用
关联成品,关联成品
阶梯价格表,阶梯价格表
价格,价格
通用,通用
供应商,供应商
Create Work Orders for Available Stock,按库存创建可生产工单
Transfer Qty,调拨数量
Only submitted Production Plans can create Work Orders.,只有已提交的生产计划才能创建生产工单。
This action is only available for Production Plans created from Sales Orders.,此操作仅适用于从销售订单创建的生产计划。
No complete set of raw materials is currently available for production.,当前原材料库存不足以完整生产一套产品。
Valid Upto,有效期至
Retaining Sample Stock,留样库存
Quick Help for Setting Permissions,设置权限快速帮助
"Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write, Create, Delete, Submit, Cancel, Amend, Report, Import, Export, Print, Email and Set User Permissions.",通过为角色和文档类型（称为 DocType）设置读取、写入、创建、删除、提交、取消、修订、报表、导入、导出、打印、邮件和设置用户权限等权限来配置权限。
Permissions get applied on Users based on what Roles they are assigned.,权限会根据用户被分配的角色应用到用户身上。
Roles can be set for users from their User page.,可以在用户页面为用户设置角色。
Setup > User,设置 > 用户
The system provides many pre-defined roles. You can add new roles to set finer permissions.,系统提供了许多预定义角色。您可以添加新角色来设置更细致的权限。
Add a New Role,添加新角色
Permissions are automatically applied to Standard Reports and searches.,权限会自动应用于标准报表和搜索。
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",建议不要为不同角色分配相同的权限规则，而应为同一用户设置多个角色。
Meaning of Different Permission Types,不同权限类型的含义
Permission,权限
Description,描述
Example,示例
Select,选择
Allows the user to search and see records.,允许用户搜索并查看记录。
The user can select a Customer in Sales Order but cannot open the Customer master.,用户可以在销售订单中选择客户，但无法打开客户主数据。
Read,读取
Allows the user to view the document.,允许用户查看文档。
The user can view Sales Invoices but cannot modify any field values in them.,用户可以查看销售发票，但不能修改其中任何字段的值。
Write,写入
Allows the user to edit existing records they have access to.,允许用户编辑其有权访问的现有记录。
The user can update a customer or any other fields in an existing Sales Order but cannot create a new Sales Order.,用户可以修改现有销售订单中的客户或其他字段，但不能创建新的销售订单。
Create,创建
Allows the user to create new documents.,允许用户创建新文档。
The user can create a new Item but cannot edit existing items.,用户可以创建新物料，但不能编辑现有物料。
Delete,删除
Allows the user to delete documents.,允许用户删除文档。
The user can delete Draft / Cancelled documents.,用户可以删除草稿或已取消的文档。
Print,打印
Allows printing or PDF download of documents.,允许打印文档或下载 PDF。
The print button is enabled for the user in the document.,用户可以在文档中使用打印按钮。
Email,邮件
Allows the user to email from the document.,允许用户从文档发送邮件。
The email button is enabled for the user in the document.,用户可以在文档中使用邮件按钮。
Report,报表
Allows the user to access reports related to the document.,允许用户访问与文档相关的报表。
"If the user has access to Employee and Report is enabled, they can view Employee-based reports.",如果用户有权访问员工且启用了报表权限，则可以查看基于员工的报表。
Export,导出
Allows the user to export data from the Report view.,允许用户从报表视图导出数据。
The user can export report data.,用户可以导出报表数据。
Import,导入
Allows the user to use Data Import tool to create / update records.,允许用户使用数据导入工具创建或更新记录。
The user can import new records or update existing data for the document.,用户可以为该文档导入新记录或更新现有数据。
Share,共享
Allows sharing document access with other users.,允许与其他用户共享文档访问权限。
The user can share document access with another user.,用户可以与其他用户共享文档访问权限。
Mask,掩码
Allows users to enable the mask property for any field of the respective doctype.,允许用户为相应 DocType 的任意字段启用掩码属性。
"If the user enables the mask property for the phone number field, the value will be displayed in a masked format (e.g., 811XXXXXXX).",如果用户为电话号码字段启用掩码属性，该值将以掩码格式显示（例如：811XXXXXXX）。
Permission Levels,权限级别
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.",级别 0 的权限是文档级权限，即决定文档访问权限的基础权限。
"If a Role does not have access at Level 0, then higher levels are meaningless.",如果角色没有级别 0 的访问权限，更高级别的权限将不起作用。
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,更高级别的权限是字段级权限。所有字段都有对应的权限级别，该级别定义的规则会应用于字段。当您需要对特定角色隐藏字段或将字段设为只读时，这一功能非常有用。
You can use Customize Form to set levels on fields.,您可以使用自定义表单为字段设置权限级别。
Setup > Customize Form,设置 > 自定义表单
User Permissions,用户权限
User Permissions are used to limit users to specific records.,用户权限用于将用户限制在指定记录范围内。
Setup > User Permissions,设置 > 用户权限
Select Document Types to set which User Permissions are used to limit access.,选择文档类型，以设置哪些用户权限用于限制访问。
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).",设置完成后，用户只能访问存在关联链接的文档（例如：存在博主关联的博客文章）。
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",除系统管理员外，拥有设置用户权限权限的角色也可以为其他用户设置该文档类型的权限。
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.",如果这些说明没有帮助，请在 GitHub Issues 中提出建议。
Submit an Issue,提交问题
"Jinja template. You can use {{ doc.fieldname }} to read a field from the current document, {{ doc.name }} for the document number, {{ doc_url }} for its link, and {{ doc_type }} for the document type. Example: {{ doc.supplier }} - {{ doc.name }}.",Jinja 模板。可以使用 {{ doc.fieldname }} 读取当前单据字段，使用 {{ doc.name }} 获取单据编号，使用 {{ doc_url }} 获取单据链接，使用 {{ doc_type }} 获取单据类型。例如：{{ doc.supplier }} - {{ doc.name }}。
"Jinja template. The current document is available as doc. Use {{ doc.fieldname }} to read document fields, {{ doc.name }} for the document number, {{ doc_url }} for the document link, and {{ doc_type }} / {{ doc_name }} for document information. Example: 采购订单 {{ doc.name }} 的供应商为 {{ doc.supplier }}。",Jinja 模板。当前单据可通过 doc 使用。使用 {{ doc.fieldname }} 读取单据字段，使用 {{ doc.name }} 获取单据编号，使用 {{ doc_url }} 获取单据链接，使用 {{ doc_type }} / {{ doc_name }} 获取单据信息。例如：采购订单 {{ doc.name }} 的供应商为 {{ doc.supplier }}。
"Jinja template. Use {{ doc.fieldname }} to read fields from the current document. This subject is used when the recipient language starts with zh.",Jinja 模板。使用 {{ doc.fieldname }} 读取当前单据字段。当收件人语言以 zh 开头时使用此主题。
"Chinese Jinja template. Used when recipient language starts with zh. Use {{ doc.fieldname }} to read document fields, {{ doc.name }} for the document number, and {{ doc_url }} for the document link.",中文 Jinja 模板。当收件人语言以 zh 开头时使用。使用 {{ doc.fieldname }} 读取单据字段，使用 {{ doc.name }} 获取单据编号，使用 {{ doc_url }} 获取单据链接。
"Jinja template. Use {{ doc.fieldname }} to read fields from the current document. This subject is used when the recipient language starts with en.",Jinja 模板。使用 {{ doc.fieldname }} 读取当前单据字段。当收件人语言以 en 开头时使用此主题。
"English Jinja template. Used when recipient language starts with en. Use {{ doc.fieldname }} to read document fields, {{ doc.name }} for the document number, and {{ doc_url }} for the document link.",英文 Jinja 模板。当收件人语言以 en 开头时使用。使用 {{ doc.fieldname }} 读取单据字段，使用 {{ doc.name }} 获取单据编号，使用 {{ doc_url }} 获取单据链接。
"Jinja template. Use {{ doc.fieldname }} to read fields from the current document. This subject is used when the recipient language starts with es.",Jinja 模板。使用 {{ doc.fieldname }} 读取当前单据字段。当收件人语言以 es 开头时使用此主题。
"Spanish Jinja template. Used when recipient language starts with es. Use {{ doc.fieldname }} to read document fields, {{ doc.name }} for the document number, and {{ doc_url }} for the document link.",西班牙语 Jinja 模板。当收件人语言以 es 开头时使用。使用 {{ doc.fieldname }} 读取单据字段，使用 {{ doc.name }} 获取单据编号，使用 {{ doc_url }} 获取单据链接。
"Jinja template. Available variables: doc, doc_url, doc_type, doc_name. Use {{ doc.fieldname }} to read a field from the current document. Example: {{ doc.name }} - {{ doc.supplier }}.",Jinja 模板。可用变量：doc、doc_url、doc_type、doc_name。使用 {{ doc.fieldname }} 读取当前单据字段。例如：{{ doc.name }} - {{ doc.supplier }}。
"Chinese DingTalk private chat template. Used when recipient language starts with zh. Use {{ doc.fieldname }} to read document fields and {{ doc_url }} for the document link.",中文钉钉私聊模板。当收件人语言以 zh 开头时使用。使用 {{ doc.fieldname }} 读取单据字段，使用 {{ doc_url }} 获取单据链接。
"English DingTalk private chat template. Used when recipient language starts with en. Use {{ doc.fieldname }} to read document fields and {{ doc_url }} for the document link.",英文钉钉私聊模板。当收件人语言以 en 开头时使用。使用 {{ doc.fieldname }} 读取单据字段，使用 {{ doc_url }} 获取单据链接。
"Spanish DingTalk private chat template. Used when recipient language starts with es. Use {{ doc.fieldname }} to read document fields and {{ doc_url }} for the document link.",西班牙语钉钉私聊模板。当收件人语言以 es 开头时使用。使用 {{ doc.fieldname }} 读取单据字段，使用 {{ doc_url }} 获取单据链接。
Add Series Prefix,添加单据编号前缀
Series,单据编号模板
Preview,预览
Rules for configuring series,单据编号规则说明
"Allowed special characters are '/' and '-'",允许使用的特殊字符为“/”和“-”
"Optionally, set the number of digits in the series using dot (.) followed by hashes (#). For example, '.####' means that the series will have four digits. Default is five digits.",可以选择使用点号（.）后跟井号（#）设置编号位数。例如，“.####”表示编号有 4 位数字，默认有 5 位数字。
You can also use variables in the series name by putting them between (.) dots,也可以将变量放在点号（.）之间，在单据编号名称中使用变量。
Supported Variables:,支持的变量：
Year in 4 digits,4 位年份
Year in 2 digits,2 位年份
Month,月份
Day of month,月份中的日期
Week of the year,年度周数
fieldname on the document e.g.,文档中的字段名，例如：
Fiscal Year (requires ERPNext to be installed),财年（需要安装 ERPNext）
Company Abbreviation (requires ERPNext to be installed),公司简称（需要安装 ERPNext）
Naming Series,单据编号
Examples:,示例：
