Status,状态
Payment Terms Template,付款条款模板
Server Drawing,服务器图纸
Enable Drawing Preview,启用图纸预览
Allow Local Drawing Download,允许下载本地图纸
External Drawing Service URL,外部图纸服务地址
Local Drawing Directory,本机图纸目录
Sample Retention Warehouse,样品仓
Customer Loan Warehouse,客户借出仓库
The batch already belongs to another item.,批号已属于其他物料。
Manual Batch No.,手动填写批号
Drawing Preview,图纸预览
Preview Drawing,预览图纸
Download Drawing,下载图纸
Link Expiry Seconds,访问链接有效期（秒）
Only draft Purchase Invoices can add miscellaneous purchase requests.,只有草稿采购发票可以添加零星采购需求。
对账金额,对账金额
是否已对账,是否已对账
已对账,已对账
未对账,未对账
Sync Tier Prices,同步阶梯价
Tier pricing rules synced for {0} item(s).,已为 {0} 个物料同步阶梯价规则。
No quantity tiers found in this quotation.,该报价单没有数量阶梯行。
Tier prices can only be synced for submitted quotations.,仅已提交的报价单可同步阶梯价。
Tier price sync failed; the quotation was submitted. Use the Sync Tier Prices button to retry.,"阶梯价同步失败,报价单已提交;可点击""同步阶梯价""按钮重试。"
Tier Sync,阶梯价同步
Synced,已同步
Sync Failed,同步失败
Quote prices synced for {0} item(s).,已为 {0} 个物料同步报价。
No price rows were found to sync in this quotation.,该报价单没有可同步的报价行。
The following items have fewer quantity tiers than the latest quotation. Continue submitting?,"以下物料的数量档少于最近报价,仍要提交吗?"
Tiers (Latest → Current),档数(最近 → 本次)
Latest Quotation,最近报价单
Prices rolled back to quotation {0}.,价格已回滚至报价单 {0}。
Rollback to the previous quotation failed; only the cancelled quotation's prices were removed.,回滚上一张报价失败;已仅清除被取消报价的价格。
Suppliers,供应商
Order Qty,下单量
Order Total,下单总价
Quote Expired,报价已过期
Create RFQ,创建询价单
Request for quotation of unquoted items ({0}),缺价物料询价(比价单 {0})
Please select at least one supplier.,请至少选择一个供应商。
No unquoted items to request for quotation.,没有缺价物料可询价。
Please submit the Material Request before comparing suppliers.,请先提交物料需求单再进行供应商比价。
Supplier Quotation Warehouse,供应商报价默认仓库
You do not have permission to create Supplier Quotations.,没有创建供应商报价单的权限。
You do not have permission to write {0}.,没有写入 {0} 的权限。
Suppliers listed here use this standard. Suppliers not listed in any standard fall back to the default configuration in Buying Settings.,此处列出的供应商使用本标准；未列入任何标准的供应商使用采购设置中的默认配置。
Leave blank to use the default frequency / window from Buying Settings.,留空时使用采购设置中的默认评级周期和评估窗口。
Rating Operation,评级运行设置
Rating Schedule,评级计划
How often suppliers on this standard are rated. Blank uses the default.,本标准下供应商的评级频率；留空时使用默认设置。
Data window in months. 0 uses the default.,按月计算的数据窗口；填写 0 时使用默认设置。
Dimension Weights,维度权重
On-time Rate Scoring,到货及时率评分
Delay Days Scoring,延迟天数评分
Delay Tolerance,延迟容差
Lead Time Scoring,实际交期评分
Return Rate Scoring,退货率评分
Rating Grades,评级等级
默认标准,默认标准
Price Check Skipped,价格检查已跳过
The price check failed and was skipped. Submission continues.,"价格检查失败,已跳过检查,提交将继续。"
